;text;id;coder;code
785201;@AlexOwler @krawallerist Besser als die Eule? Well.;4254;1;
1482196;"Ich freue mich! Das wird fantastisch morgen!
#zukunfteuropa https://t.co/dPCNovehM7";3664;1;
768603;Tolle Veranstaltung und richtig gute Stimmung gestern am Kröpcke in Hannover mit unter anderem @c_lindner und @christianduerr. Trotz zum Teil strömenden Regens sind unglaublich viele Leute gekommen und geblieben. #btw21 #vielzutun https://t.co/6cvW4mefKe;2810;1;
677148;"RT @kattascha: Als ich Kind war hieß es: ""Wenn der #Klimawandel kommt, steigen die Meere und es wird wärmer."" Doch tatsächlich droht uns no.";3103;1;
1119970;@digitalwerber ? https://t.co/eZoAPK2zTF;2677;1;
326503;Eindrücke unserer #Neubautour im Video @SenSWBerlin  @BBU_Wohnen https://t.co/8ZybxeggSF;2608;1;
1688811;"@Batmann200 @Die_Gruenen Ich erkläre es mir so: Wir sind dem 1,5°C Ziel näher als je zuvor und haben aber leider durch Verkehr nicht alle Schlüsselresorts in der Hand. Ja viel hätte könnte wollte, aber da kann etwas draus werden. 
Auch die FDP wird an CO2 Reduktion im Verkehr nicht drum herum kommen. 1/n";2340;1;
1845294;Menschen mit Migrationshintergrund sind besonders häufig von #Covid19 betroffen. Woran das liegt, erklärt @SerapGueler im Interview mit @CloseUpReb. https://t.co/bOu5SJ7hBz https://t.co/NgO7MfDxDq;2023;1;
1085167;"Leserbrief zum #Agrarindustrie Desaster in #AltTellin Mecklenburg-Vorpommern. -&gt; #NieMehrSPD #Backhaus 
@BUNDMV @Tierschutzparte @tierschutz_bund @LucasTreise @susannewiest 
#Massentierhaltung #Landwirtschaft https://t.co/x2rqC0FVxK";2991;1;
1088636;"Die einen handeln, die anderen straucheln. @OlafScholz baut Vorsprung aus und das Dilettieren von #Laschet kostet Union Punkte. 

Bundestagswahl wird immer spannender und die heiße Phase beginnt erst.
#BTW2021 #btw21 #btw21LE
#InLeipzigzuhause @SPDLeipzig
https://t.co/GkUTlO8XGg";2959;1;
1802707;Klartext vom @BVerfG ! Reden reicht nicht. Mit Innovation, Forschung und neuen Technologien im #Modernisierungsjahrzehnt werden wir zum klimaneutralen und wettbewerbsfähigen Industrieland. Gutes Gespräch mit @vonderleyen zum Green Deal. Jetzt schnelles Handeln in ?? und ??. https://t.co/e17gZ1mSqP;3670;1;
865761;Total verdient! Danke für euren Einsatz @ColoridoV in #Plauen für Demokratie, Toleranz und den vielen Migranten:innen in der Stadt und der Umgebung, die eure Arbeit sehr wertschätzen. https://t.co/lVFBk3tKXB;848;1;
1140172;Im 60. Jahr der Migration aus der #Türkei mischen die Kinder türkischer Familien in der deutschen Politik richtig mit. Sie sind echte Vorbilder für die türkische Community in Deutschland. Mehr davon! @cem_oezdemir @oezoguz @Muhterem_Aras @BelitOnay @DerDanyal https://t.co/1KhDfkUlT1;1215;1;
783564;@TiloJung @JungNaiv https://t.co/3whwKKhYvZ;2518;1;
1146330;"@HennigfeldWIT @tagesschau @welt @BILD MEIN NRW ist das nicht. Und ich denke auch nicht, dass die Mehrheit in unserem Bundesland das für gut befindet. 

Das Appeasement gegenüber dem Antisemitismus von Migrantenmilieus muss enden! Und an die Landesregierung sei gesagt: HANDELN statt Betroffenheitsgemurmel!";1236;1;
1680193;"#Gruenen &amp; #Industrie. Ein Verhältnis auf gutem Weg. Wichtig für #Klimaschutz &amp; #Strukturwandel
Freu mich auf die Rede von #Kaeser bei uns @Die_Gruenen
@DJanecek @GrnWrtDlg https://t.co/Tb2R8IQ053";3709;1;
311971;Adelanto, a struggling town in California, is really hoping Elon Musk's Boring Company can turn around its fortunes https://t.co/mKzBGbjpJA;3116;1;
616497;Wir sind ein Land mit Migrationsgeschichte. Zum heutigen Tag der Migration bin ich stolz, dass die #Ampel anerkennt und wertschätzt, wie uns diese Vielfalt bereichert und was Menschen wie meine Eltern für dieses Land geleistet haben. Es geht um Respekt für alle. #tagdermigration https://t.co/gFcTEdYbyp;561;1;
1830758;"Beim n-tv Frühstart habe ich über die politischen Herausforderungen einer neuen Koalition im Bund und Chancen der Regierungsverantwortung der LINKEN in M-V und Berlin gesprochen.

https://t.co/wbDM13r6kZ";2630;1;
1816794;"Maja Göpel findet wirklich die besten Worte. Sie sollte noch viel öfter gehört werden.

#Klimaschutz #Klimakrise https://t.co/RwQsGdwU0f";2964;1;
